,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol
601,Johnson Service Group Plc,16.7,Low ESG Risk,Commercial Services,LON,JSG
3820,Xerox Holdings Corp.,16.7,Low ESG Risk,Technology Hardware,NAS,XRX
3052,"GLOBALFOUNDRIES, Inc.",16.7,Low ESG Risk,Semiconductors,NAS,GFS
3302,"Match Group, Inc.",16.7,Low ESG Risk,Software & Services,NAS,MTCH
2840,"Guess?, Inc.",16.7,Low ESG Risk,Retailing,NYS,GES
1349,"The Duckhorn Portfolio, Inc.",16.7,Low ESG Risk,Food Retailers,NYS,NAPA
109,Toyota Boshoku Corp.,16.7,Low ESG Risk,Auto Components,TKS,3116
3836,Helios Towers Plc,16.7,Low ESG Risk,Telecommunication Services,LON,HTWS
3723,"Osaki Electric Co., Ltd.",16.7,Low ESG Risk,Technology Hardware,TKS,6644
877,InterContinental Hotels Group Plc,16.7,Low ESG Risk,Consumer Services,LON,IHG
3098,"Tokyo Seimitsu Co., Ltd.",16.7,Low ESG Risk,Semiconductors,TKS,7729
3962,"Oxford Industries, Inc.",16.7,Low ESG Risk,Textiles & Apparel,NYS,OXM
774,Nikon Corp.,16.7,Low ESG Risk,Consumer Durables,TKS,7731
413,Carrier Global Corp.,16.7,Low ESG Risk,Building Products,NYS,CARR
791,SUNCORP,16.7,Low ESG Risk,Consumer Durables,TKS,6736
891,ME Group International Plc,16.7,Low ESG Risk,Consumer Services,LON,MEGP
2971,TAKKT AG,16.8,Low ESG Risk,Retailing,ETR,TTK
3531,"Apple, Inc.",16.8,Low ESG Risk,Technology Hardware,NAS,AAPL
1109,Janus Henderson Group Plc,16.8,Low ESG Risk,Diversified Financials,NYS,JHG
2985,"Tile Shop Holdings, Inc.",16.8,Low ESG Risk,Retailing,NAS,TTSH
2116,Advance Residence Investment Corp.,16.8,Low ESG Risk,Real Estate,TKS,3269
1976,"Regeneron Pharmaceuticals, Inc.",16.8,Low ESG Risk,Pharmaceuticals,NAS,REGN
3417,The Sage Group plc,16.8,Low ESG Risk,Software & Services,LON,SGE
2678,"Uniti Group, Inc.",16.8,Low ESG Risk,Real Estate,NAS,UNIT
1921,"Bio-Rad Laboratories, Inc.",16.8,Low ESG Risk,Pharmaceuticals,NYS,BIO
2996,"Upbound Group, Inc.",16.8,Low ESG Risk,Retailing,NAS,UPBD
1741,CTS Eventim AG & Co. KGaA,16.8,Low ESG Risk,Media,ETR,EVD
3392,Softcat Plc,16.8,Low ESG Risk,Software & Services,LON,SCT
3390,"Snowflake, Inc.",16.9,Low ESG Risk,Software & Services,NYS,SNOW
805,Universal Entertainment Corp.,16.9,Low ESG Risk,Consumer Durables,TKS,6425
3268,"Intuit, Inc.",16.9,Low ESG Risk,Software & Services,NAS,INTU
1619,Unum Group,16.9,Low ESG Risk,Insurance,NYS,UNM
776,"Peloton Interactive, Inc.",16.9,Low ESG Risk,Consumer Durables,NAS,PTON
1621,Willis Towers Watson Plc,16.9,Low ESG Risk,Insurance,NAS,WTW
2803,"Dick's Sporting Goods, Inc.",16.9,Low ESG Risk,Retailing,NYS,DKS
1960,Merck KGaA,16.9,Low ESG Risk,Pharmaceuticals,ETR,MRK
2635,Star Asia Investment Corp.,16.9,Low ESG Risk,Real Estate,TKS,3468
1826,"Roku, Inc.",16.9,Low ESG Risk,Media,NAS,ROKU
1293,"Ain Holdings, Inc.",16.9,Low ESG Risk,Food Retailers,TKS,9627
1834,"Septeni Holdings Co., Ltd.",16.9,Low ESG Risk,Media,TKS,4293
560,"Duskin Co., Ltd.",16.9,Low ESG Risk,Commercial Services,TKS,4665
3630,"Harmonic, Inc.",16.9,Low ESG Risk,Technology Hardware,NAS,HLIT
2982,The ODP Corp.,16.9,Low ESG Risk,Retailing,NAS,ODP
958,"Yum China Holdings, Inc.",16.9,Low ESG Risk,Consumer Services,NYS,YUMC
3455,"ZoomInfo Technologies, Inc.",16.9,Low ESG Risk,Software & Services,NAS,ZI
282,Fifth Third Bancorp,16.9,Low ESG Risk,Banks,NAS,FITB
2272,"Ellington Financial, Inc.",17.0,Low ESG Risk,Real Estate,NYS,EFC
3044,DISCO Corp.,17.0,Low ESG Risk,Semiconductors,TKS,6146
3685,"Littelfuse, Inc.",17.0,Low ESG Risk,Technology Hardware,NAS,LFUS
1496,Bellway Plc,17.0,Low ESG Risk,Homebuilders,LON,BWY
2802,"Destination XL Group, Inc.",17.0,Low ESG Risk,Retailing,NAS,DXLG
729,Cleanup Corp.,17.0,Low ESG Risk,Consumer Durables,TKS,7955
3431,"Unity Software, Inc.",17.0,Low ESG Risk,Software & Services,NYS,U
552,Cintas Corp.,17.0,Low ESG Risk,Commercial Services,NAS,CTAS
1485,"UnitedHealth Group, Inc.",17.0,Low ESG Risk,Healthcare,NYS,UNH
3155,"Blackbaud, Inc.",17.0,Low ESG Risk,Software & Services,NAS,BLKB
1431,"Japan Medical Dynamic Marketing, Inc.",17.0,Low ESG Risk,Healthcare,TKS,7600
3291,"Leidos Holdings, Inc.",17.0,Low ESG Risk,Software & Services,NYS,LDOS
127,Mercedes-Benz Group AG,17.0,Low ESG Risk,Automobiles,ETR,MBG
3202,"DocuSign, Inc.",17.0,Low ESG Risk,Software & Services,NAS,DOCU
4375,SSE Plc,17.0,Low ESG Risk,Utilities,LON,SSE
1635,"Daifuku Co., Ltd.",17.0,Low ESG Risk,Machinery,TKS,6383
2545,"Plymouth Industrial REIT, Inc.",17.0,Low ESG Risk,Real Estate,NYS,PLYM
2286,"Essential Properties Realty Trust, Inc.",17.0,Low ESG Risk,Real Estate,NYS,EPRT
3597,"Elecom Co., Ltd.",17.0,Low ESG Risk,Technology Hardware,TKS,6750
3168,CANCOM SE,17.0,Low ESG Risk,Software & Services,ETR,COK
1458,"Premier, Inc.",17.0,Low ESG Risk,Healthcare,NAS,PINC
2873,"Kenvue, Inc.",17.0,Low ESG Risk,Retailing,NYS,KVUE
3795,Toshiba Tec Corp.,17.0,Low ESG Risk,Technology Hardware,TKS,6588
3053,Ichor Holdings Ltd.,17.1,Low ESG Risk,Semiconductors,NAS,ICHR
3049,"FormFactor, Inc.",17.1,Low ESG Risk,Semiconductors,NAS,FORM
3783,"Taiyo Yuden Co., Ltd.",17.1,Low ESG Risk,Technology Hardware,TKS,6976
428,TOTO Ltd.,17.1,Low ESG Risk,Building Products,TKS,5332
3794,Topcon Corp.,17.1,Low ESG Risk,Technology Hardware,TKS,7732
679,Triton International Ltd.,17.1,Low ESG Risk,Commercial Services,NYS,TRTN.PRE
586,"HITO-Communications Holdings, Inc.",17.1,Low ESG Risk,Commercial Services,TKS,4433
1059,"CME Group, Inc.",17.1,Low ESG Risk,Diversified Financials,NAS,CME
3607,"Extreme Networks, Inc.",17.1,Low ESG Risk,Technology Hardware,NAS,EXTR
3138,ATOSS Software AG,17.1,Low ESG Risk,Software & Services,ETR,AOF
2972,Target Corp.,17.1,Low ESG Risk,Retailing,NYS,TGT
802,"Tsuburaya Fields Holdings, Inc.",17.1,Low ESG Risk,Consumer Durables,TKS,2767
1036,Ashmore Group Plc,17.1,Low ESG Risk,Diversified Financials,LON,ASHM
2402,Japan Hotel REIT Investment Corp.,17.1,Low ESG Risk,Real Estate,TKS,8985
1163,St. James's Place Plc,17.1,Low ESG Risk,Diversified Financials,LON,STJ
1532,Kao Corp.,17.1,Low ESG Risk,Household Products,TKS,4452
2586,RLJ Lodging Trust,17.1,Low ESG Risk,Real Estate,NYS,RLJ
4301,Alliant Energy Corp.,17.1,Low ESG Risk,Utilities,NAS,LNT
1869,"ValueCommerce Co., Ltd.",17.1,Low ESG Risk,Media,TKS,2491
1373,Atrion Corp.,17.1,Low ESG Risk,Healthcare,NAS,ATRI
130,Porsche AG,17.1,Low ESG Risk,Automobiles,ETR,P911
2663,"Tokyo Tatemono Co., Ltd.",17.1,Low ESG Risk,Real Estate,TKS,8804
2476,"Mitsubishi Estate Co., Ltd.",17.2,Low ESG Risk,Real Estate,TKS,8802
724,"Arhaus, Inc.",17.2,Low ESG Risk,Consumer Durables,NAS,ARHS
1335,Redcare Pharmacy NV,17.2,Low ESG Risk,Food Retailers,ETR,RDC
2895,"MarineMax, Inc.",17.2,Low ESG Risk,Retailing,NYS,HZO
1743,"CyberAgent, Inc.",17.2,Low ESG Risk,Media,TKS,4751
1959,"Medpace Holdings, Inc.",17.2,Low ESG Risk,Pharmaceuticals,NAS,MEDP
3553,"Canon, Inc.",17.2,Low ESG Risk,Technology Hardware,TKS,7751
3158,"Booking Holdings, Inc.",17.2,Low ESG Risk,Software & Services,NAS,BKNG
1123,London Stock Exchange Group Plc,17.2,Low ESG Risk,Diversified Financials,LON,LSEG
1367,"AMN Healthcare Services, Inc.",17.2,Low ESG Risk,Healthcare,NYS,AMN
2945,"Ross Stores, Inc.",17.2,Low ESG Risk,Retailing,NAS,ROST
2778,"Caleres, Inc.",17.2,Low ESG Risk,Retailing,NYS,CAL
3663,JEOL Ltd.,17.2,Low ESG Risk,Technology Hardware,TKS,6951
3319,NEC Networks & System Integration Corp.,17.2,Low ESG Risk,Software & Services,TKS,1973
1172,Tokyo Century Corp.,17.2,Low ESG Risk,Diversified Financials,TKS,8439
3298,"Manhattan Associates, Inc.",17.2,Low ESG Risk,Software & Services,NAS,MANH
2652,Takara Leben Real Estate Investment Corp.,17.2,Low ESG Risk,Real Estate,TKS,3492
107,Toyo Tire Corp.,17.2,Low ESG Risk,Auto Components,TKS,5105
1566,"Equitable Holdings, Inc.",17.2,Low ESG Risk,Insurance,NYS,EQH
2525,Palace Capital Plc,17.2,Low ESG Risk,Real Estate,LON,PCA
860,"European Wax Center, Inc.",17.2,Low ESG Risk,Consumer Services,NAS,EWCZ
4125,Nippon Yusen KK,17.3,Low ESG Risk,Transportation,TKS,9101
4095,"Hertz Global Holdings, Inc.",17.3,Low ESG Risk,Transportation,NAS,HTZ
2531,PATRIZIA SE,17.3,Low ESG Risk,Real Estate,ETR,PAT
397,Truist Financial Corp.,17.3,Low ESG Risk,Banks,NYS,TFC
2513,"Omega Healthcare Investors, Inc.",17.3,Low ESG Risk,Real Estate,NYS,OHI
1168,"T. Rowe Price Group, Inc.",17.3,Low ESG Risk,Diversified Financials,NAS,TROW
3047,"First Solar, Inc.",17.3,Low ESG Risk,Semiconductors,NAS,FSLR
1271,Coca-Cola HBC AG,17.3,Low ESG Risk,Food Products,LON,CCH
4233,"Kamigumi Co., Ltd.",17.3,Low ESG Risk,Transportation Infrastructure,TKS,9364
1434,"Mani, Inc.",17.3,Low ESG Risk,Healthcare,TKS,7730
1443,Neogen Corp.,17.3,Low ESG Risk,Healthcare,NAS,NEOG
1572,Hannover Rück SE,17.3,Low ESG Risk,Insurance,ETR,HNR1
79,"Nihon Tokushu Toryo Co., Ltd.",17.3,Low ESG Risk,Auto Components,TKS,4619
3199,"Dayforce, Inc.",17.3,Low ESG Risk,Software & Services,NYS,DAY
65,"Mabuchi Motor Co., Ltd.",17.3,Low ESG Risk,Auto Components,TKS,6592
4144,"Schneider National, Inc.",17.4,Low ESG Risk,Transportation,NYS,SNDR
3309,Moneysupermarket.com Group Plc,17.4,Low ESG Risk,Software & Services,LON,MONY
3310,"MongoDB, Inc.",17.4,Low ESG Risk,Software & Services,NAS,MDB
620,"Montrose Environmental Group, Inc.",17.4,Low ESG Risk,Commercial Services,NYS,MEG
1897,"Mercer International, Inc.",17.4,Low ESG Risk,Paper & Forestry,NAS,MERC
105,"The Shyft Group, Inc.",17.4,Low ESG Risk,Auto Components,NAS,SHYF
1251,John Wood Group Plc,17.4,Low ESG Risk,Energy Services,LON,WG
1348,"The Chefs' Warehouse, Inc.",17.4,Low ESG Risk,Food Retailers,NAS,CHEF
583,"Healthcare Services Group, Inc.",17.4,Low ESG Risk,Commercial Services,NAS,HCSG
1354,"Yokorei Co., Ltd.",17.4,Low ESG Risk,Food Retailers,TKS,2874
3418,The Western Union Co.,17.4,Low ESG Risk,Software & Services,NYS,WU
2145,"Apple Hospitality REIT, Inc.",17.4,Low ESG Risk,Real Estate,NYS,APLE
4115,"Maruzen Showa Unyu Co., Ltd.",17.4,Low ESG Risk,Transportation,TKS,9068
1793,Madison Square Garden Sports Corp.,17.4,Low ESG Risk,Media,NYS,MSGS
2801,"Designer Brands, Inc.",17.4,Low ESG Risk,Retailing,NYS,DBI
28,Continental AG,17.5,Low ESG Risk,Auto Components,ETR,CON
2382,Impact Healthcare REIT Plc,17.5,Low ESG Risk,Real Estate,LON,IHR
1227,"Rockwell Automation, Inc.",17.5,Low ESG Risk,Electrical Equipment,NYS,ROK
45,Gentex Corp.,17.5,Low ESG Risk,Auto Components,NAS,GNTX
3445,"Workday, Inc.",17.5,Low ESG Risk,Software & Services,NAS,WDAY
1501,"Century Communities, Inc.",17.5,Low ESG Risk,Homebuilders,NYS,CCS
3264,"Informatica, Inc. (California)",17.5,Low ESG Risk,Software & Services,NYS,INFA
3015,"Yamada Holdings Co., Ltd.",17.5,Low ESG Risk,Retailing,TKS,9831
3570,Coherent Corp.,17.5,Low ESG Risk,Technology Hardware,NYS,COHR
1851,"TBS Holdings, Inc.",17.5,Low ESG Risk,Media,TKS,9401
2977,The Cato Corp.,17.5,Low ESG Risk,Retailing,NYS,CATO
3385,SCSK Corp.,17.5,Low ESG Risk,Software & Services,TKS,9719
1302,"Create SD Holdings Co., Ltd.",17.5,Low ESG Risk,Food Retailers,TKS,3148
2943,RH,17.5,Low ESG Risk,Retailing,NYS,RH
1337,Shoei Foods Corp.,17.5,Low ESG Risk,Food Retailers,TKS,8079
3717,"Nissha Co., Ltd.",17.5,Low ESG Risk,Technology Hardware,TKS,7915
3063,Lattice Semiconductor Corp.,17.5,Low ESG Risk,Semiconductors,NAS,LSCC
3588,Dexerials Corp.,17.5,Low ESG Risk,Technology Hardware,TKS,4980
4072,"C.H. Robinson Worldwide, Inc.",17.5,Low ESG Risk,Transportation,NAS,CHRW
2664,Tokyu Fudosan Holdings Corp.,17.5,Low ESG Risk,Real Estate,TKS,3289
2392,"Invesco Mortgage Capital, Inc.",17.5,Low ESG Risk,Real Estate,NYS,IVR
3375,Rightmove Plc,17.5,Low ESG Risk,Software & Services,LON,RMV
2775,"Build-A-Bear Workshop, Inc.",17.5,Low ESG Risk,Retailing,NYS,BBW
980,Gerresheimer AG,17.5,Low ESG Risk,Containers & Packaging,ETR,GXI
1128,Man Group Plc (Jersey),17.6,Low ESG Risk,Diversified Financials,LON,EMG
3341,"ON24, Inc.",17.6,Low ESG Risk,Software & Services,NYS,ONTF
3452,"Ziff Davis, Inc.",17.6,Low ESG Risk,Software & Services,NAS,ZD
3191,"CrowdStrike Holdings, Inc.",17.6,Low ESG Risk,Software & Services,NAS,CRWD
3089,"Silicon Laboratories, Inc.",17.6,Low ESG Risk,Semiconductors,NAS,SLAB
3722,"OPTEX GROUP Co., Ltd.",17.6,Low ESG Risk,Technology Hardware,TKS,6914
341,National Rural Utilities Cooperative Finance Corp.,17.6,Low ESG Risk,Banks,NYS,NRUC
1478,Synlab AG,17.6,Low ESG Risk,Healthcare,ETR,SYAB
2799,"DCM Holdings Co., Ltd.",17.6,Low ESG Risk,Retailing,TKS,3050
1766,"Gray Television, Inc.",17.6,Low ESG Risk,Media,NYS,GTN
2226,CLS Holdings Plc,17.6,Low ESG Risk,Real Estate,LON,CLI
4143,"Saia, Inc.",17.6,Low ESG Risk,Transportation,NAS,SAIA
3673,Knowles Corp.,17.6,Low ESG Risk,Technology Hardware,NYS,KN
3617,"Furuno Electric Co., Ltd.",17.6,Low ESG Risk,Technology Hardware,TKS,6814
42,"Futaba Industrial Co., Ltd.",17.6,Low ESG Risk,Auto Components,TKS,7241
1221,Nordex SE,17.6,Low ESG Risk,Electrical Equipment,ETR,NDX1
884,Lincoln Educational Services Corp.,17.6,Low ESG Risk,Consumer Services,NAS,LINC
3581,"Daktronics, Inc.",17.6,Low ESG Risk,Technology Hardware,NAS,DAKT
2231,"Community Healthcare Trust, Inc.",17.6,Low ESG Risk,Real Estate,NYS,CHCT
1593,"Primerica, Inc.",17.7,Low ESG Risk,Insurance,NYS,PRI
3176,Check Point Software Technologies Ltd.,17.7,Low ESG Risk,Software & Services,NAS,CHKP
1311,"HF Foods Group, Inc.",17.7,Low ESG Risk,Food Retailers,NAS,HFFG
3124,"Alight, Inc.",17.7,Low ESG Risk,Software & Services,NYS,ALIT
3328,Network International Holdings Plc,17.7,Low ESG Risk,Software & Services,LON,NETW
3136,Atlassian Corp.,17.7,Low ESG Risk,Software & Services,NAS,TEAM
3590,"Digi International, Inc.",17.7,Low ESG Risk,Technology Hardware,NAS,DGII
3224,"EVERTEC, Inc.",17.7,Low ESG Risk,Software & Services,NYS,EVTC
4224,Hamburger Hafen und Logistik AG,17.7,Low ESG Risk,Transportation Infrastructure,ETR,HHFA
1543,"Aflac, Inc.",17.7,Low ESG Risk,Insurance,NYS,AFL
1838,"Sinclair, Inc.",17.7,Low ESG Risk,Media,NAS,SBGI
2538,"Phillips Edison & Co., Inc.",17.7,Low ESG Risk,Real Estate,NAS,PECO
3967,PUMA SE,17.7,Low ESG Risk,Textiles & Apparel,ETR,PUM
1483,"Toho Holdings Co., Ltd.",17.7,Low ESG Risk,Healthcare,TKS,8129
3317,"nCino, Inc.",17.7,Low ESG Risk,Software & Services,NAS,NCNO
2950,"Sally Beauty Holdings, Inc.",17.7,Low ESG Risk,Retailing,NYS,SBH
343,NatWest Group Plc,17.7,Low ESG Risk,Banks,LON,NWG
1804,Nexxen International Ltd.,17.7,Low ESG Risk,Media,LON,NEXN
1939,Evotec SE,17.7,Low ESG Risk,Pharmaceuticals,ETR,EVT
3230,"Fiserv, Inc.",17.7,Low ESG Risk,Software & Services,NYS,FI
2861,"J.Jill, Inc.",17.7,Low ESG Risk,Retailing,NYS,JILL
1806,"Nippon Television Holdings, Inc.",17.7,Low ESG Risk,Media,TKS,9404
1350,"United Natural Foods, Inc.",17.8,Low ESG Risk,Food Retailers,NYS,UNFI
2196,"CBL & Associates Properties, Inc.",17.8,Low ESG Risk,Real Estate,NYS,CBL
2154,"Armada Hoffler Properties, Inc.",17.8,Low ESG Risk,Real Estate,NYS,AHH
1343,"Sprouts Farmers Market, Inc.",17.8,Low ESG Risk,Food Retailers,NAS,SFM
2349,"Healthcare Realty Trust, Inc.",17.8,Low ESG Risk,Real Estate,NYS,HR
2725,"Kinder Morgan, Inc.",17.8,Low ESG Risk,Refiners & Pipelines,NYS,KMI
3277,Keywords Studios Plc,17.8,Low ESG Risk,Software & Services,LON,KWS
1613,"Tokio Marine Holdings, Inc.",17.8,Low ESG Risk,Insurance,TKS,8766
794,"Tamron Co., Ltd.",17.8,Low ESG Risk,Consumer Durables,TKS,7740
631,"Pasona Group, Inc.",17.8,Low ESG Risk,Commercial Services,TKS,2168
3085,Renesas Electronics Corp.,17.8,Low ESG Risk,Semiconductors,TKS,6723
2673,Two Harbors Investment Corp.,17.8,Low ESG Risk,Real Estate,NYS,TWO
2867,Joyful Honda Co. Ltd.,17.8,Low ESG Risk,Retailing,TKS,3191
4146,"Seino Holdings Co., Ltd.",17.8,Low ESG Risk,Transportation,TKS,9076
2467,"Medical Properties Trust, Inc.",17.8,Low ESG Risk,Real Estate,NYS,MPW
3023,"Advanced Energy Industries, Inc.",17.8,Low ESG Risk,Semiconductors,NAS,AEIS
3028,"Amkor Technology, Inc.",17.8,Low ESG Risk,Semiconductors,NAS,AMKR
4138,Redde Northgate Plc,17.8,Low ESG Risk,Transportation,LON,ZIG
99,"Stanley Electric Co., Ltd.",17.8,Low ESG Risk,Auto Components,TKS,6923
2428,KKR Real Estate Finance Trust Inc.,17.8,Low ESG Risk,Real Estate,NYS,KREF
4009,AerCap Holdings NV,17.8,Low ESG Risk,Traders & Distributors,NYS,AER
1969,Pfizer Inc.,17.8,Low ESG Risk,Pharmaceuticals,NYS,PFE
1701,"Amuse, Inc.",17.8,Low ESG Risk,Media,TKS,4301
3073,Nova Ltd.,17.9,Low ESG Risk,Semiconductors,NAS,NVMI
2437,Ladder Capital Corp.,17.9,Low ESG Risk,Real Estate,NYS,LADR
2865,"Jins Holdings, Inc.",17.9,Low ESG Risk,Retailing,TKS,3046
1158,"Seibu Holdings, Inc.",17.9,Low ESG Risk,Diversified Financials,TKS,9024
609,"Link & Motivation, Inc.",17.9,Low ESG Risk,Commercial Services,TKS,2170
4004,"World Co., Ltd.",17.9,Low ESG Risk,Textiles & Apparel,TKS,3612
693,YouGov Plc,17.9,Low ESG Risk,Commercial Services,LON,YOU
3675,Kontron AG,17.9,Low ESG Risk,Technology Hardware,ETR,KTN
1122,Liontrust Asset Management Plc,17.9,Low ESG Risk,Diversified Financials,LON,LIO
589,"ICF International, Inc.",17.9,Low ESG Risk,Commercial Services,NAS,ICFI
3651,Infinera Corp.,17.9,Low ESG Risk,Technology Hardware,NAS,INFN
116,Yorozu Corp.,17.9,Low ESG Risk,Auto Components,TKS,7294
588,"Huron Consulting Group, Inc.",17.9,Low ESG Risk,Commercial Services,NAS,HURN
1467,"Simulations Plus, Inc.",17.9,Low ESG Risk,Healthcare,NAS,SLP
3344,Oracle Corp Japan,17.9,Low ESG Risk,Software & Services,TKS,4716
2854,"IDOM, Inc.",17.9,Low ESG Risk,Retailing,TKS,7599
3101,"Ultra Clean Holdings, Inc.",17.9,Low ESG Risk,Semiconductors,NAS,UCTT
2787,"ChargePoint Holdings, Inc.",17.9,Low ESG Risk,Retailing,NYS,CHPT
3187,"Confluent, Inc.",17.9,Low ESG Risk,Software & Services,NAS,CFLT
2920,"OneWater Marine, Inc.",17.9,Low ESG Risk,Retailing,NAS,ONEW
404,Virgin Money UK Plc,17.9,Low ESG Risk,Banks,LON,VMUK
3086,SCREEN Holdings Co. Ltd.,17.9,Low ESG Risk,Semiconductors,TKS,7735
3708,NCR Voyix Corp.,17.9,Low ESG Risk,Technology Hardware,NYS,VYX
1325,METRO AG,17.9,Low ESG Risk,Food Retailers,ETR,B4B
1680,"Xylem, Inc.",18.0,Low ESG Risk,Machinery,NYS,XYL
3376,Roblox Corp.,18.0,Low ESG Risk,Software & Services,NYS,RBLX
1192,"Acuity Brands, Inc.",18.0,Low ESG Risk,Electrical Equipment,NYS,AYI
859,Entain Plc,18.0,Low ESG Risk,Consumer Services,LON,ENT
3297,LY Corp.,18.0,Low ESG Risk,Software & Services,TKS,4689
3978,Seiko Group Corp.,18.0,Low ESG Risk,Textiles & Apparel,TKS,8050
475,Symrise AG,18.0,Low ESG Risk,Chemicals,ETR,SY1
1490,"West Pharmaceutical Services, Inc.",18.0,Low ESG Risk,Healthcare,NYS,WST
1995,"Ultragenyx Pharmaceutical, Inc.",18.0,Low ESG Risk,Pharmaceuticals,NAS,RARE
904,"Rent the Runway, Inc.",18.0,Low ESG Risk,Consumer Services,NAS,RENT
2681,Urban Edge Properties,18.0,Low ESG Risk,Real Estate,NYS,UE
1050,"Bread Financial Holdings, Inc.",18.0,Low ESG Risk,Diversified Financials,NYS,BFH
667,"SOHGO SECURITY SERVICES CO., LTD.",18.0,Low ESG Risk,Commercial Services,TKS,2331
627,"OPENLANE, Inc.",18.0,Low ESG Risk,Commercial Services,NYS,KAR
2870,K's Holdings Corp.,18.0,Low ESG Risk,Retailing,TKS,8282
100,"Sumitomo Rubber Industries, Ltd.",18.0,Low ESG Risk,Auto Components,TKS,5110
1657,Nabtesco Corp.,18.0,Low ESG Risk,Machinery,TKS,6268
1203,Eaton Corp. Plc,18.1,Low ESG Risk,Electrical Equipment,NYS,ETN
1700,"AMC Entertainment Holdings, Inc.",18.1,Low ESG Risk,Media,NYS,AMC
3829,BT Group Plc,18.1,Low ESG Risk,Telecommunication Services,LON,BT.A
4089,Forward Air Corp.,18.1,Low ESG Risk,Transportation,NAS,FWRD
1984,"Shin Nippon Biomedical Laboratories, Ltd.",18.1,Low ESG Risk,Pharmaceuticals,TKS,2395
1874,"Warner Bros. Discovery, Inc.",18.1,Low ESG Risk,Media,NAS,WBD
1465,Siemens Healthineers AG,18.1,Low ESG Risk,Healthcare,ETR,SHL
1928,"Charles River Laboratories International, Inc.",18.1,Low ESG Risk,Pharmaceuticals,NYS,CRL
3141,Auto Trader Group Plc,18.1,Low ESG Risk,Software & Services,LON,AUTO
3030,"Analog Devices, Inc.",18.1,Low ESG Risk,Semiconductors,NAS,ADI
2488,National Storage Affiliates Trust,18.1,Low ESG Risk,Real Estate,NYS,NSA
3907,Descente Ltd.,18.1,Low ESG Risk,Textiles & Apparel,TKS,8114
4337,Eversource Energy,18.1,Low ESG Risk,Utilities,NYS,ES
1792,Lions Gate Entertainment Corp.,18.1,Low ESG Risk,Media,NYS,LGF.A
1754,"Emerald Expositions Events, Inc.",18.1,Low ESG Risk,Media,NYS,EEX
951,Whitbread Plc,18.1,Low ESG Risk,Consumer Services,LON,WTB
2876,Kohl's Corp.,18.1,Low ESG Risk,Retailing,NYS,KSS
3200,"Dentsu Soken, Inc.",18.1,Low ESG Risk,Software & Services,TKS,4812
4107,"Knight-Swift Transportation Holdings, Inc.",18.1,Low ESG Risk,Transportation,NYS,KNX
2670,"TPG RE Finance Trust, Inc.",18.1,Low ESG Risk,Real Estate,NYS,TRTX
825,888 Holdings Plc,18.2,Low ESG Risk,Consumer Services,LON,EVOK
1787,Lamar Advertising Co.,18.2,Low ESG Risk,Media,NAS,LAMR
1861,"Toei Animation Co., Ltd.",18.2,Low ESG Risk,Media,TKS,4816
1925,"Catalyst Pharmaceuticals, Inc.",18.2,Low ESG Risk,Pharmaceuticals,NAS,CPRX
1954,"Kyowa Kirin Co., Ltd.",18.2,Low ESG Risk,Pharmaceuticals,TKS,4151
1967,Oxford Nanopore Technologies Plc,18.2,Low ESG Risk,Pharmaceuticals,LON,ONT
3547,"Bel Fuse, Inc.",18.2,Low ESG Risk,Technology Hardware,NAS,BELFB
1750,Direct Marketing MiX Inc.,18.2,Low ESG Risk,Media,TKS,7354
675,"Thoughtworks Holding, Inc.",18.2,Low ESG Risk,Commercial Services,NAS,TWKS
3848,SoftBank Corp.,18.2,Low ESG Risk,Telecommunication Services,TKS,9434
70,Modine Manufacturing Co.,18.2,Low ESG Risk,Auto Components,NYS,MOD
1555,Beazley Plc,18.2,Low ESG Risk,Insurance,LON,BEZ
812,Whirlpool Corp.,18.2,Low ESG Risk,Consumer Durables,NYS,WHR
854,"Driven Brands Holdings, Inc.",18.2,Low ESG Risk,Consumer Services,NAS,DRVN
1143,ORIX Corp.,18.2,Low ESG Risk,Diversified Financials,TKS,8591
2659,The PRS REIT Plc,18.2,Low ESG Risk,Real Estate,LON,PRSR
3299,"Marvelous, Inc.",18.2,Low ESG Risk,Software & Services,TKS,7844
2804,"Dillard's, Inc.",18.2,Low ESG Risk,Retailing,NYS,DDS
2660,"The RMR Group, Inc.",18.2,Low ESG Risk,Real Estate,NAS,RMR
1403,"Eiken Chemical Co., Ltd.",18.2,Low ESG Risk,Healthcare,TKS,4549
1430,"Japan Lifeline Co., Ltd.",18.2,Low ESG Risk,Healthcare,TKS,7575
3307,monday.com Ltd.,18.2,Low ESG Risk,Software & Services,NAS,MNDY
4035,Klöckner & Co. SE,18.2,Low ESG Risk,Traders & Distributors,ETR,KCO
3223,"Everi Holdings, Inc.",18.2,Low ESG Risk,Software & Services,NYS,EVRI
3282,"Koei Tecmo Holdings Co., Ltd.",18.2,Low ESG Risk,Software & Services,TKS,3635
1418,"HealthStream, Inc.",18.2,Low ESG Risk,Healthcare,NAS,HSTM
3206,"Dun & Bradstreet Holdings, Inc.",18.2,Low ESG Risk,Software & Services,NYS,DNB
1028,American Express Co.,18.3,Low ESG Risk,Diversified Financials,NYS,AXP
2519,"Orchid Island Capital, Inc.",18.3,Low ESG Risk,Real Estate,NYS,ORC
