,company_name,industry,stock_exchange,stock_ticker_symbol,market_capital_euro,score
68,Deluxe Corp.,Commercial Services,NYS,DLX,977799080.96,0.08892907847330359
69,"BorgWarner, Inc.",Auto Components,NYS,BWA,7164502855.68,0.09036612587533262
70,"Elevance Health, Inc.",Healthcare,NYS,ELV,111387627683.84,0.11457507077061874
71,The New York Times Co.,Media,NYS,NYT,8055643176.96,0.09057311992744346
72,News Corp.,Media,NAS,NWSA,14796305653.76,0.0921388408432923
73,"MKS Instruments, Inc.",Technology Hardware,NAS,MKSI,8196210933.76,0.09221867422837395
74,"Marcus & Millichap, Inc.",Real Estate,NYS,MMI,1344630312.96,0.09062718924873975
75,Sleep Number Corp.,Consumer Durables,NAS,SNBR,224300945.92,0.09197986239647127
76,"Ingersoll Rand, Inc.",Machinery,NYS,IR,36400056893.44,0.10038276610639923
77,"Lithia Motors, Inc.",Retailing,NYS,LAD,6792394444.8,0.09350549899433416
78,"Heidrick & Struggles International, Inc.",Commercial Services,NAS,HSII,646040545.28,0.09369072728613978
79,"Cousins Properties, Inc.",Real Estate,NYS,CUZ,3488435804.1600003,0.09435095878760649
80,Linde Plc,Chemicals,NAS,LIN,198702428323.84,0.13969526021293502
81,"NL Industries, Inc.",Commercial Services,NYS,NL,299661899.52000004,0.0936102704627435
82,Ball Corp.,Containers & Packaging,NYS,BALL,17681115709.440002,0.09764763413014547
83,Danaher Corp.,Pharmaceuticals,NYS,DHR,171209790586.88,0.1349221742151647
84,Kimco Realty Corp.,Real Estate,NYS,KIM,13377426718.72,0.09826087658206349
85,Macerich Co.,Real Estate,NYS,MAC,3328456960.0,0.0975396053571964
86,"Smith & Wesson Brands, Inc.",Consumer Durables,NAS,SWBI,652193387.52,0.09691796291979823
87,"Cannae Holdings, Inc.",Diversified Financials,NYS,CNNE,1114586741.76,0.0970253676368531
88,"Prologis, Inc.",Real Estate,NYS,PLD,104947372851.2,0.1227565478898735
89,"Rexford Industrial Realty, Inc.",Real Estate,NYS,REXR,10209897512.96,0.10236383265275797
90,IPG Photonics Corp.,Technology Hardware,NAS,IPGP,3791912038.4,0.10087306314312619
91,"Robert Half, Inc.",Commercial Services,NYS,RHI,6506685603.84,0.10150365068075065
92,COPT Defense Properties,Real Estate,NYS,CDP,2818066513.92,0.10064685832843148
93,"Advance Auto Parts, Inc.",Retailing,NYS,AAP,3534696171.52,0.10081331704783536
94,Acushnet Holdings Corp.,Consumer Durables,NYS,GOLF,3938091294.72,0.10090701765722197
95,"Adtalem Global Education, Inc.",Consumer Services,NYS,ATGE,2699680266.24,0.10384516602531822
96,Pool Corp.,Retailing,NAS,POOL,11863360962.56,0.10597370555415096
97,"AutoZone, Inc.",Retailing,NYS,AZO,46898799902.72,0.11572463968320403
98,Zurn Elkay Water Solutions Corp.,Building Products,NYS,ZWS,4996814929.92,0.1059916476348257
99,"Garrett Motion, Inc.",Auto Components,NAS,GTX,2025051125.76,0.10530136641081392
